reviewer_name,Review Title,Place of Review,Up Votes,Down Votes,Month,review_text,rating,Review_Title,Place_of_Review,Date_of_Review,Up_Votes,Down_Votes,review_title,place_of_review,Date_of_review,up_votes,Down_votes,sentiment,cleaned_review
Jiya Kumari Singh,Brilliant,"Certified Buyer, Nashik",0.0,0.0,Sep 2019,good quality and good costREAD MORE,5.0,,,,,,,,,,,1,good quality good cost
Flipkart Customer,Must buy!,"Certified Buyer, East Godavari District",0.0,0.0,Sep 2019,Quality good...READ MORE,4.0,,,,,,,,,,,1,quality good
Mashun  Vashi,Worth every penny,"Certified Buyer, Pune",0.0,0.0,Sep 2019,Nice qualityREAD MORE,5.0,,,,,,,,,,,1,nice quality
Harish T Harish T,Perfect product!,"Certified Buyer, Chittoor District",0.0,0.0,Sep 2019,good productREAD MORE,5.0,,,,,,,,,,,1,good product
Abhinav Kumar,Best in the market!,"Certified Buyer, Kaimur Bhabua District",0.0,0.0,Sep 2019,It's is good for intermediate players not best but better then otherREAD MORE,5.0,,,,,,,,,,,1,good intermediate player best better
Abhishek Patel,Slightly disappointed,"Certified Buyer, Pune",0.0,0.0,Sep 2019,strong build for any rough game nice movement and speed.READ MORE,4.0,,,,,,,,,,,1,strong build rough game nice movement speed
Rampratap  Kumar,Fabulous!,"Certified Buyer, Bhawanipatna",0.0,0.0,Sep 2019,niceREAD MORE,5.0,,,,,,,,,,,1,nice
Flipkart Customer,Nice product,"Certified Buyer, Vizianagaram",0.0,0.0,Sep 2019,very good.READ MORE,5.0,,,,,,,,,,,1,good
Pratap Kumar,Using in out door badminton game,"Certified Buyer, Barbil",0.0,0.0,Sep 2019,this is the best plastic shuttleREAD MORE,5.0,,,,,,,,,,,1,best plastic shuttle
Pratik Kumar,Worth the money,"Certified Buyer, Behea",0.0,0.0,Sep 2019,nice productREAD MORE,5.0,,,,,,,,,,,1,nice product
nilesh shah,Brilliant,"Certified Buyer, Tapi District",0.0,0.0,Sep 2019,ExcellentREAD MORE,5.0,,,,,,,,,,,1,excellent
Flipkart Customer,Horrible,"Certified Buyer, Chikkaballapura District",0.0,0.0,Sep 2019,Awesome got with 699READ MORE,5.0,,,,,,,,,,,1,awesome got
Riddhi Rungta,Pretty good,"Certified Buyer, Vellore",0.0,0.0,Sep 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Samba siva reddy Nasam,Unsatisfactory,"Certified Buyer, Ysr District",0.0,0.0,Sep 2019,"awesome, Nice productREAD MORE",5.0,,,,,,,,,,,1,awesome nice product
Flipkart Customer,Delightful,"Certified Buyer, Pune",0.0,0.0,Sep 2019,GoodREAD MORE,5.0,,,,,,,,,,,1,good
Flipkart Customer,Hated it!,"Certified Buyer, Mormugao",0.0,0.0,Sep 2019,Not Satisfactory. Shuttles are a little fast. The quality seem to have degraded.READ MORE,2.0,,,,,,,,,,,0,satisfactory shuttle little fast quality seem degraded
Bhargav T,Wonderful,"Certified Buyer, New Delhi",0.0,0.0,Sep 2019,on first attempt flipkart send local product when I replace order then  I received yonex mavis 350 thanks flipkartREAD MORE,5.0,,,,,,,,,,,1,first attempt flipkart send local product replace order received yonex mavis thanks flipkart
Adwaith Biju,Simply awesome,"Certified Buyer, Edakkode",0.0,0.0,Sep 2019,niceREAD MORE,4.0,,,,,,,,,,,1,nice
Abora,Terrific,"Certified Buyer, Guwahati",0.0,0.0,Sep 2019,working well in out door gameREAD MORE,5.0,,,,,,,,,,,1,working well door game
Srikant Kumar,Terrific,"Certified Buyer, Bhawanipatna",0.0,0.0,Sep 2019,marvellous product good for beginnerREAD MORE,4.0,,,,,,,,,,,1,marvellous product good beginner
Flipkart Customer,Fair,"Certified Buyer, North Lakhimpur",0.0,0.0,Sep 2019,greatREAD MORE,5.0,,,,,,,,,,,1,great
Nung  Dodum,Just okay,"Certified Buyer, Itanagar",0.0,0.0,Sep 2019,old stockREAD MORE,1.0,,,,,,,,,,,0,old stock
barry rogers,Must buy!,"Certified Buyer, New Delhi",0.0,0.0,Sep 2019,Product seemed original. Fine quality. Although it breaks like a ice cream cone if explodes to even a little moisture.READ MORE,4.0,,,,,,,,,,,1,product seemed original fine quality although break like ice cream cone explodes even little moisture
Bis SG,Great product,"Certified Buyer, Ranchi",0.0,0.0,Sep 2019,waste it is slow. any one want to purchase go retail storesREAD MORE,1.0,,,,,,,,,,,0,waste slow one want purchase go retail store
Sanil Sunny,Just wow!,"Certified Buyer, Pathanamthitta District",0.0,0.0,Sep 2019,OkayREAD MORE,4.0,,,,,,,,,,,1,okay
Jai Verma,Worth the money,"Certified Buyer, Sahibganj",0.0,0.0,Sep 2019,Asked for slow shuttle and they have provided me medium or fast. When I checked return period was over.READ MORE,1.0,,,,,,,,,,,0,asked slow shuttle provided medium fast checked return period
Devendra Kumar Rathore,Great product,"Certified Buyer, Thiruvallur District",0.0,0.0,Sep 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Sekhar Mahankuda,Pretty good,"Certified Buyer, Hyderabad",0.0,0.0,Sep 2019,very niceREAD MORE,5.0,,,,,,,,,,,1,nice
Murali  B,Very Good,"Certified Buyer, Pavagada",0.0,0.0,Sep 2019,Genuine productREAD MORE,5.0,,,,,,,,,,,1,genuine product
Flipkart Customer,Pretty good,"Certified Buyer, Mathura",0.0,0.0,Sep 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Flipkart Customer,Best in the market!,"Certified Buyer, Dehradun",0.0,0.0,Sep 2019,"go for it, its amazingREAD MORE",5.0,,,,,,,,,,,1,go amazing
Flipkart Customer,Worth the money,"Certified Buyer, Tadepalligudem",0.0,0.0,Sep 2019,"Original product in intact form, delivered. Nothing to comment on a branded product, like Yonex. Thanks !!!READ MORE",5.0,,,,,,,,,,,1,original product intact form delivered nothing comment branded product like yonex thanks
Bhupesh Bhagtani,Terrific,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,superREAD MORE,5.0,,,,,,,,,,,1,super
Flipkart Customer,Really Nice,"Certified Buyer, Salur",0.0,0.0,Aug 2019,goodREAD MORE,4.0,,,,,,,,,,,1,good
Shivaji Jadhav,Really Nice,"Certified Buyer, Lasalgaon",0.0,0.0,Aug 2019,NiceREAD MORE,5.0,,,,,,,,,,,1,nice
Monu Bhargava,Good quality product,"Certified Buyer, Guna",0.0,0.0,Aug 2019,Good in quality.  probably the best nylon shuttle. just go for it.READ MORE,4.0,,,,,,,,,,,1,good quality probably best nylon shuttle go
Zaroon Talreja,Very Good,"Certified Buyer, Vadodara",0.0,0.0,Aug 2019,superREAD MORE,4.0,,,,,,,,,,,1,super
Aneesh Chandran,Really Nice,"Certified Buyer, Kollam District",0.0,0.0,Aug 2019,goodREAD MORE,4.0,,,,,,,,,,,1,good
Flipkart Customer,Nice product,"Certified Buyer, Vapi",0.0,0.0,Aug 2019,SuperbREAD MORE,5.0,,,,,,,,,,,1,superb
saurabh singh,Terrific purchase,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,best shuttlecocksREAD MORE,5.0,,,,,,,,,,,1,best shuttlecock
william Jones,Pretty good,"Certified Buyer, Thanjavur",0.0,0.0,Aug 2019,goodREAD MORE,4.0,,,,,,,,,,,1,good
Anand Nagouda,Highly recommended,"Certified Buyer, Bangalore",0.0,0.0,Aug 2019,"Nice flight, good control & perfect on bat!! Writing after playing 2 times!READ MORE",5.0,,,,,,,,,,,1,nice flight good control perfect bat writing playing time
Flipkart Customer,Good quality product,"Certified Buyer, Hamirpur District",0.0,0.0,Aug 2019,NiceREAD MORE,4.0,,,,,,,,,,,1,nice
Kumar sheel  Bhadra,Just okay,"Certified Buyer, Purnia",0.0,0.0,Aug 2019,good performance but not very goodREAD MORE,4.0,,,,,,,,,,,1,good performance good
Flipkart Customer,Best in the market!,"Certified Buyer, Adilabad",0.0,0.0,Aug 2019,flipkart is the best online site.READ MORE,4.0,,,,,,,,,,,1,flipkart best online site
Mahendra kumar Meena,Worth every penny,"Certified Buyer, Muradnagar",0.0,0.0,Aug 2019,"Havebeen ordering shuttles over a year now , 100% orignal products, and if incase at times shuttles are damaged flipkart is quick n hastle free to replace them, thankyou for fair price n great services...READ MORE",4.0,,,,,,,,,,,1,havebeen ordering shuttle year orignal product incase time shuttle damaged flipkart quick n hastle free replace thankyou fair price n great service
Rohit  Kumar,Waste of money!,"Certified Buyer, Kangra District",0.0,0.0,Aug 2019,Good shuttle for all playersREAD MORE,4.0,,,,,,,,,,,1,good shuttle player
Srikiran Raavi,Worth the money,"Certified Buyer, Vijayawada",0.0,0.0,Aug 2019,okREAD MORE,4.0,,,,,,,,,,,1,ok
Sengottuvel U,Super!,"Certified Buyer, Karur",0.0,0.0,Aug 2019,goodREAD MORE,4.0,,,,,,,,,,,1,good
M.H. govinda raju(bk rajan) M .H.govinda raju(bk rajan),Mind-blowing purchase,"Certified Buyer, West Godavari",0.0,0.0,Aug 2019,shuttle is very good for average to beginners.READ MORE,5.0,,,,,,,,,,,1,shuttle good average beginner
hemanth kumar,Good quality product,"Certified Buyer, Davangere",0.0,0.0,Aug 2019,nice one good quality for priceREAD MORE,4.0,,,,,,,,,,,1,nice one good quality price
zamindar ariyalur Ramadurai,Good choice,"Certified Buyer, Ariyalur",0.0,0.0,Aug 2019,Best among nylon shuttlesREAD MORE,5.0,,,,,,,,,,,1,best among nylon shuttle
Rajasekhar,Wonderful,"Certified Buyer, Hyderabad",0.0,0.0,Aug 2019,goodREAD MORE,4.0,,,,,,,,,,,1,good
kathirvelu  P,Must buy!,"Certified Buyer, Tiruttani",0.0,0.0,Aug 2019,Excellent product (genuine one).READ MORE,5.0,,,,,,,,,,,1,excellent product genuine one
Shiva  Kumar,Great product,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,good qualityREAD MORE,5.0,,,,,,,,,,,1,good quality
Aditya  Lonkar,Brilliant,"Certified Buyer, Nagpur",0.0,0.0,Aug 2019,Its very very bad productREAD MORE,1.0,,,,,,,,,,,0,bad product
Shubhay Raikar,Wonderful,"Certified Buyer, Bambolim",0.0,0.0,Aug 2019,"Got on time,  but old stock,  need to check the flight condition while playingREAD MORE",4.0,,,,,,,,,,,1,got time old stock need check flight condition playing
Flipkart Customer,Worst experience ever!,"Certified Buyer, West Godavari District",0.0,0.0,Aug 2019,Best QualityREAD MORE,5.0,,,,,,,,,,,1,best quality
Promit Majumder,Awesome,"Certified Buyer, Kolkata",0.0,0.0,Aug 2019,excellentREAD MORE,5.0,,,,,,,,,,,1,excellent
satish kharwar,Wonderful,"Certified Buyer, Paradip",0.0,0.0,Aug 2019,worth of moneyREAD MORE,4.0,,,,,,,,,,,1,worth money
Dipak  Kumar,Worth every penny,"Certified Buyer, Bhatni Bazar",0.0,0.0,Aug 2019,okREAD MORE,4.0,,,,,,,,,,,1,ok
Santhi Arimanda ,Delightful,"Certified Buyer, Hyderabad",0.0,0.0,Aug 2019,I received original productREAD MORE,4.0,,,,,,,,,,,1,received original product
AMIT DHURU,Useless product,"Certified Buyer, Vasai Virar",0.0,0.0,Aug 2019,Go for it good quality genuine shuttlesREAD MORE,5.0,,,,,,,,,,,1,go good quality genuine shuttle
Ashay  Parikh,Excellent,"Certified Buyer, Surat",0.0,0.0,Aug 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
SIVA THIAGARAJAN,Good quality product,"Certified Buyer, Puducherry",0.0,0.0,Aug 2019,OriginalREAD MORE,5.0,,,,,,,,,,,1,original
Getum Tangu,Terrific,"Certified Buyer, Papum Pare District",0.0,0.0,Aug 2019,it's too good😊😊😊READ MORE,5.0,,,,,,,,,,,1,good
Neha Baby,Perfect product!,"Certified Buyer, Chennai",0.0,0.0,Aug 2019,"Nice product for indoors, not suitable for outdoors.READ MORE",5.0,,,,,,,,,,,1,nice product indoors suitable outdoors
Soumya Ranjan  Bindhani,Expected a better product,"Certified Buyer, Bangalore",0.0,0.0,Aug 2019,not up to mark. quality is not goodREAD MORE,1.0,,,,,,,,,,,0,mark quality good
Kuruvind Kamra,Hated it!,"Certified Buyer, Noida",0.0,0.0,Aug 2019,Good and nice.READ MORE,5.0,,,,,,,,,,,1,good nice
Vijayalakshmi Puvvada,Great product,"Certified Buyer, Kanigiri",0.0,0.0,Aug 2019,It is good suttalREAD MORE,4.0,,,,,,,,,,,1,good suttal
Flipkart Customer Rana Pratap deo,Simply awesome,"Certified Buyer, Lucknow",0.0,0.0,Aug 2019,very nice productREAD MORE,5.0,,,,,,,,,,,1,nice product
shivani singh,Simply awesome,"Certified Buyer, Khair",0.0,0.0,Aug 2019,GoodREAD MORE,4.0,,,,,,,,,,,1,good
Flipkart Customer,Wonderful,"Certified Buyer, Tirupati",0.0,0.0,Aug 2019,the product delivered was original but the packet was flattened due to which the shuttles have lost their shape.defective shuttles receivedREAD MORE,1.0,,,,,,,,,,,0,product delivered original packet flattened due shuttle lost shapedefective shuttle received
Flipkart Customer,Excellent,"Certified Buyer, Sundarapandiam",0.0,0.0,Aug 2019,grt product at grt priceREAD MORE,5.0,,,,,,,,,,,1,grt product grt price
chethan kumar,Wonderful,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,FairREAD MORE,4.0,,,,,,,,,,,1,fair
venu devulapally,Highly recommended,"Certified Buyer, Hyderabad",0.0,0.0,Aug 2019,very much Satisfied...Good Quality....Quick Delivery...👍👍👍READ MORE,5.0,,,,,,,,,,,1,much satisfiedgood qualityquick delivery
Mahendra singh Shakya,Very Good,"Certified Buyer, Budaun",0.0,0.0,Aug 2019,Awesome ...READ MORE,5.0,,,,,,,,,,,1,awesome
Abhishek vaidya,Mind-blowing purchase,"Certified Buyer, Ratnagiri",0.0,0.0,Aug 2019,"I have been ordering these since a long time, shuttles used to be good and long lasting for rigorous games and used to last 90mins at least.But this time, I am really disappointed with the quality. the shuttles are starting to rotate just over couple of sets. Never expected, this quality for a bulk order of 3 tubes.READ MORE",2.0,,,,,,,,,,,0,ordering since long time shuttle used good long lasting rigorous game used last min leastbut time really disappointed quality shuttle starting rotate couple set never expected quality bulk order tube
Sathya Narayanan,Excellent,"Certified Buyer, Coimbatore",0.0,0.0,Aug 2019,Not genuine product and all the shuttles were shaped out. Don't buy these products online.READ MORE,1.0,,,,,,,,,,,0,genuine product shuttle shaped dont buy product online
Libin Joy,Highly recommended,"Certified Buyer, Kottayam District",0.0,0.0,Aug 2019,N8ceREAD MORE,5.0,,,,,,,,,,,1,nce
Mihiran,Just okay,"Certified Buyer, Bangalore",0.0,0.0,Aug 2019,Nice productREAD MORE,5.0,,,,,,,,,,,1,nice product
Dr Giribabu A,Simply awesome,"Certified Buyer, Chittoor",0.0,0.0,Aug 2019,its originalREAD MORE,5.0,,,,,,,,,,,1,original
Sanjay  Arora,Brilliant,"Certified Buyer, Deoria",0.0,0.0,Aug 2019,good oneREAD MORE,5.0,,,,,,,,,,,1,good one
Roopesh  P,Not good,"Certified Buyer, Cherukavu",0.0,0.0,Aug 2019,ozm product but not delivered@ selected place 😒😒😒😒READ MORE,5.0,,,,,,,,,,,1,ozm product delivered selected place
Flipkart Customer,Brilliant,"Certified Buyer, Chinnalapatti",0.0,0.0,Aug 2019,NiceREAD MORE,4.0,,,,,,,,,,,1,nice
Vishnumon M K,Really Nice,"Certified Buyer, Kottayam District",0.0,0.0,Aug 2019,good for daily practiceREAD MORE,5.0,,,,,,,,,,,1,good daily practice
siva sankar,Best in the market!,"Certified Buyer, Coimbatore",0.0,0.0,Aug 2019,it v good for coart but not good for homeREAD MORE,4.0,,,,,,,,,,,1,v good coart good home
Hitesh Patel,Did not meet expectations,"Certified Buyer, Jamnagar",0.0,0.0,Aug 2019,excellent and authentic productexcellent packagingfaster deliveryREAD MORE,5.0,,,,,,,,,,,1,excellent authentic productexcellent packagingfaster delivery
Flipkart Customer,Classy product,"Certified Buyer, S Kodikulam",0.0,0.0,Aug 2019,Great Product and perfect delivery time.READ MORE,5.0,,,,,,,,,,,1,great product perfect delivery time
Sanjay  Bhingude ,Very Good,"Certified Buyer, Porvorim",0.0,0.0,Aug 2019,Super productREAD MORE,5.0,,,,,,,,,,,1,super product
Dr.Naresh kumar,Best in the market!,"Certified Buyer, Palwancha",0.0,0.0,Aug 2019,excellentREAD MORE,5.0,,,,,,,,,,,1,excellent
Padmanaban Barath,Terrific purchase,"Certified Buyer, Gulbarga District",0.0,0.0,Aug 2019,fantastic.....READ MORE,5.0,,,,,,,,,,,1,fantastic
Flipkart Customer,Great product,"Certified Buyer, Gwalior",0.0,0.0,Aug 2019,original Product correct delveryREAD MORE,2.0,,,,,,,,,,,0,original product correct delvery
Karthikeyan Suruliappan,Not good,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,OKREAD MORE,5.0,,,,,,,,,,,1,ok
Deepak Sony,Brilliant,"Certified Buyer, Alappuzha District",0.0,0.0,Aug 2019,Nice productREAD MORE,4.0,,,,,,,,,,,1,nice product
Flipkart Customer,Perfect product!,"Certified Buyer, Auraiya",0.0,0.0,Aug 2019,Awesome product 100% original & DurabilityREAD MORE,5.0,,,,,,,,,,,1,awesome product original durability
Srikanth Vykunttam ,Must buy!,"Certified Buyer, East Godavari District",0.0,0.0,Aug 2019,poor quality shuttle they have sent.  may be it is a old stock. one shuttle broke within 1 day. only 7 games i have played with this shuttle.READ MORE,1.0,,,,,,,,,,,0,poor quality shuttle sent may old stock one shuttle broke within day game played shuttle
Manivannan S,Fabulous!,"Certified Buyer, Chennai",0.0,0.0,Aug 2019,super but rate is very highREAD MORE,5.0,,,,,,,,,,,1,super rate high
Avinash Vuppala,Does the job,"Certified Buyer, Visakhapatnam District",0.0,0.0,Aug 2019,Nice oneREAD MORE,4.0,,,,,,,,,,,1,nice one
K.Sivashanmugam Musiri ,Mmmm,"Certified Buyer, Musiri",0.0,0.0,Aug 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
MANISH KUMAR,Simply awesome,"Certified Buyer, Bangalore",0.0,0.0,Aug 2019,nice oneREAD MORE,5.0,,,,,,,,,,,1,nice one
Shankar  A,Classy product,"Certified Buyer, Chennai",0.0,0.0,Aug 2019,value for moneyREAD MORE,5.0,,,,,,,,,,,1,value money
Flipkart Customer,Simply awesome,"Certified Buyer, Agar",0.0,0.0,Aug 2019,Nice original product just love playing badminton nowREAD MORE,5.0,,,,,,,,,,,1,nice original product love playing badminton
VILAS  MUNJEWAR,Decent product,"Certified Buyer, New Delhi",0.0,0.0,Aug 2019,I doubt this may not be a genuine product...READ MORE,2.0,,,,,,,,,,,0,doubt may genuine product
Bhushan  Joshi ,Great product,"Certified Buyer, Amreli",0.0,0.0,Aug 2019,superREAD MORE,5.0,,,,,,,,,,,1,super
ANVER ALI  S,Must buy!,"Certified Buyer, Dharmapuri",0.0,0.0,Aug 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Kruparao D,Must buy!,"Certified Buyer, Bhimavaram",0.0,0.0,Aug 2019,GoodREAD MORE,5.0,,,,,,,,,,,1,good
Sheenarenjala Satharsheenarenjal,Super!,"Certified Buyer, Dakshina Kannada District",0.0,0.0,Aug 2019,Original yonex product.. visit yonex sunrise website for originality.. scratch code an led type code in that website..READ MORE,5.0,,,,,,,,,,,1,original yonex product visit yonex sunrise website originality scratch code led type code website
Deepesh Kumar,Awesome,"Certified Buyer, Pune",0.0,0.0,Aug 2019,GoodREAD MORE,4.0,,,,,,,,,,,1,good
Shyam bihari Meena,Good choice,"Certified Buyer, Rawatbhata",0.0,0.0,Aug 2019,As expected. Excellent one.READ MORE,5.0,,,,,,,,,,,1,expected excellent one
Nagesh  K ,Worth every penny,"Certified Buyer, Bengaluru",0.0,0.0,Aug 2019,Good packing....READ MORE,5.0,,,,,,,,,,,1,good packing
Flipkart Customer,Great product,"Certified Buyer, Vizianagaram District",0.0,0.0,Aug 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
CHARLES G,Super!,"Certified Buyer, Bijapur District",0.0,0.0,Jul 2019,it's good.. osm price really impressed with the product.READ MORE,5.0,,,,,,,,,,,1,good osm price really impressed product
Ruban Kumar,Value-for-money,"Certified Buyer, Chetpet",0.0,0.0,Jul 2019,"good one, no doubt go for itREAD MORE",5.0,,,,,,,,,,,1,good one doubt go
Shiv Poojan Mishra,Wonderful,"Certified Buyer, Rohtak",0.0,0.0,Jul 2019,amazing.. 👌👌👌READ MORE,5.0,,,,,,,,,,,1,amazing
RAMESH  R,Awesome,"Certified Buyer, Tiruppur District",0.0,0.0,Jul 2019,classyREAD MORE,5.0,,,,,,,,,,,1,classy
MohanKumar Subramanian,Awesome,"Certified Buyer, Chennai",0.0,0.0,Jul 2019,superbREAD MORE,5.0,,,,,,,,,,,1,superb
Flipkart Customer,Great product,"Certified Buyer, Tinsukia",0.0,0.0,Jul 2019,very very niceREAD MORE,5.0,,,,,,,,,,,1,nice
Flipkart Customer,Pretty good,"Certified Buyer, Sangli District",0.0,0.0,Jul 2019,"NICE SHUTTLE,BALANCE TOO GOODREAD MORE",4.0,,,,,,,,,,,1,nice shuttlebalance good
Rajin AR,Brilliant,"Certified Buyer, Thrissur",0.0,0.0,Jul 2019,best of best...  1 got @ 629... must buyREAD MORE,5.0,,,,,,,,,,,1,best best got must buy
harshit pandey,Highly recommended,"Certified Buyer, Gurgaon",0.0,0.0,Jul 2019,niceREAD MORE,5.0,,,,,,,,,,,1,nice
Dileep Yadav,Excellent,"Certified Buyer, Jalesar",0.0,0.0,Jul 2019,good product.READ MORE,5.0,,,,,,,,,,,1,good product
Devanshu Rana,Simply awesome,"Certified Buyer, Dehradun",0.0,0.0,Jul 2019,super productsREAD MORE,4.0,,,,,,,,,,,1,super product
Sneh Lata,Best in the market!,"Certified Buyer, Vapi",0.0,0.0,Jul 2019,looks good rest comment after 2 day play minimumREAD MORE,4.0,,,,,,,,,,,1,look good rest comment day play minimum
nityanand Prasad,Wonderful,"Certified Buyer, New Delhi",0.0,0.0,Jul 2019,okREAD MORE,5.0,,,,,,,,,,,1,ok
Shail Bhatetia,Terrific,"Certified Buyer, Ganganagar District",0.0,0.0,Jul 2019,GoodREAD MORE,5.0,,,,,,,,,,,1,good
Kundan Kumar ,Best in the market!,"Certified Buyer, Cachar District",0.0,0.0,Jul 2019,AwesomeREAD MORE,5.0,,,,,,,,,,,1,awesome
Rahul Pandey,Wonderful,"Certified Buyer, Halol",0.0,0.0,Jul 2019,worth for moneyREAD MORE,4.0,,,,,,,,,,,1,worth money
pradipta kumar bhoi,Perfect product!,"Certified Buyer, Rourkela",0.0,0.0,Jul 2019,awesomeREAD MORE,5.0,,,,,,,,,,,1,awesome
Alina Rath,Nice,"Certified Buyer, Talcher",0.0,0.0,Jul 2019,I like the shuttle qualitiesREAD MORE,5.0,,,,,,,,,,,1,like shuttle quality
aman kumar,Classy product,"Certified Buyer, Sultanpur",0.0,0.0,Jul 2019,good jobREAD MORE,5.0,,,,,,,,,,,1,good job
Satya Meher,Decent product,"Certified Buyer, Patnagarh",0.0,0.0,Jul 2019,excellent qualityREAD MORE,5.0,,,,,,,,,,,1,excellent quality
porika Rathan Singh  Rathansingh ,Great product,"Certified Buyer, Mulugu",0.0,0.0,Jul 2019,awesome best the comments that say it's fake. are also fakeREAD MORE,5.0,,,,,,,,,,,1,awesome best comment say fake also fake
Zaina Zafar,Brilliant,"Certified Buyer, Fatehgarh",0.0,0.0,Jul 2019,niceREAD MORE,5.0,,,,,,,,,,,1,nice
Flipkart Customer,Perfect product!,"Certified Buyer, Alwar",0.0,0.0,Jul 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Dev Choudhary,Fabulous!,"Certified Buyer, Barmer",0.0,0.0,Jul 2019,got from latest one not from old stock...packaging was too goodREAD MORE,5.0,,,,,,,,,,,1,got latest one old stockpackaging good
Kishore. J v k,Wonderful,"Certified Buyer, Bondapalli",0.0,0.0,Jul 2019,BestREAD MORE,5.0,,,,,,,,,,,1,best
Puneet Goel,Horrible,"Certified Buyer, Kaithal",0.0,0.0,Jul 2019,"My favourite shuttle, Fast delivery by FlipkartREAD MORE",5.0,,,,,,,,,,,1,favourite shuttle fast delivery flipkart
Abhishek Chandanan,Good,"Certified Buyer, Bengaluru",0.0,0.0,Jul 2019,packing of this product is very poor. always receive with press positionREAD MORE,5.0,,,,,,,,,,,1,packing product poor always receive press position
Srinivasa Rao Chitta,Brilliant,"Certified Buyer, Hyderabad",0.0,0.0,Jul 2019,WorthyREAD MORE,5.0,,,,,,,,,,,1,worthy
Shanil Kumar,Great product,"Certified Buyer, Quilandy",0.0,0.0,Jul 2019,excellent appREAD MORE,5.0,,,,,,,,,,,1,excellent app
Flipkart Customer,Wonderful,"Certified Buyer, Kantabamsuguda",0.0,0.0,Jul 2019,best quality shuttle 🖤READ MORE,5.0,,,,,,,,,,,1,best quality shuttle
Neelu Gupta,Terrific,"Certified Buyer, Gurugram",0.0,0.0,Jul 2019,superb qualityREAD MORE,5.0,,,,,,,,,,,1,superb quality
Flipkart Customer,Worth every penny,"Certified Buyer, Rajam",0.0,0.0,Jul 2019,niceREAD MORE,5.0,,,,,,,,,,,1,nice
Flipkart Customer,Very Good,"Certified Buyer, Kollam District",0.0,0.0,Jul 2019,Nice productREAD MORE,4.0,,,,,,,,,,,1,nice product
Ankit Chunarkar,Super!,"Certified Buyer, Ordnance Factory Bhadravati Township",0.0,0.0,Jul 2019,nothing recetREAD MORE,1.0,,,,,,,,,,,0,nothing recet
JOBIN JOSEPH,Wonderful,"Certified Buyer, Pathanamthitta",0.0,0.0,Jul 2019,good productREAD MORE,4.0,,,,,,,,,,,1,good product
Varun Malviya,Highly recommended,"Certified Buyer, New Delhi",0.0,0.0,Jul 2019,GoodREAD MORE,5.0,,,,,,,,,,,1,good
HEMANATH K,Fabulous!,"Certified Buyer, Uthukkottai",0.0,0.0,Jul 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
BHISHMA,Good quality product,"Certified Buyer, Bengaluru",0.0,0.0,Jul 2019,Super qualityREAD MORE,5.0,,,,,,,,,,,1,super quality
Flipkart Customer,Simply awesome,"Certified Buyer, Rajkot",0.0,0.0,Jul 2019,good qualityREAD MORE,4.0,,,,,,,,,,,1,good quality
Selva Vinayagam,Brilliant,"Certified Buyer, Perambalur",0.0,0.0,Jul 2019,goodREAD MORE,5.0,,,,,,,,,,,1,good
Nighal  Raja,Best in the market!,"Certified Buyer, Manavalakurichi",0.0,0.0,Jul 2019,good materialREAD MORE,5.0,,,,,,,,,,,1,good material
Justin issac Issac,Wonderful,"Certified Buyer, Thodupuzha",0.0,0.0,Jul 2019,"Excellent deal, value worthREAD MORE",4.0,,,,,,,,,,,1,excellent deal value worth
Flipkart Customer,Best in the market!,"Certified Buyer, Washim",0.0,0.0,Jul 2019,happy with my order I m alwaysREAD MORE,5.0,,,,,,,,,,,1,happy order always
Prasannahvenkat M,Terrific,"Certified Buyer, Chennai",0.0,0.0,Jul 2019,Good shuttles with a decent price.READ MORE,4.0,,,,,,,,,,,1,good shuttle decent price
Ps raja,Just wow!,"Certified Buyer, Samalkot",0.0,0.0,Jul 2019,God product at an attractive priceREAD MORE,5.0,,,,,,,,,,,1,god product attractive price
DINTO  DEVASSY,Value-for-money,"Certified Buyer, Chalakudy",0.0,0.0,Jul 2019,"Great Shuttle , flight of the shuttle is very good , no regrets with the rate because in the market it was costing me around 840 rupees and here from flipkart I got it for 699 INRREAD MORE",5.0,,,,,,,,,,,1,great shuttle flight shuttle good regret rate market costing around rupee flipkart got inr
Flipkart Customer,Expected a better product,"Certified Buyer, Sambalpur District",0.0,0.0,Jul 2019,Original qualityREAD MORE,5.0,,,,,,,,,,,1,original quality
Firoj Sheikh,Perfect product!,"Certified Buyer, Nanded Waghala",0.0,0.0,Jul 2019,WorthyREAD MORE,4.0,,,,,,,,,,,1,worthy
